Name,Stop ID,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code,City
KL SENTRAL,KS01,Keretapi Tanah Melayu,3.132675,101.687891,KS,Skypark Link,10,Brown,#A52A2A,Kuala Lumpur
SUBANG JAYA,KS02,Keretapi Tanah Melayu,3.084660,101.588127,KS,Skypark Link,10,Brown,#A52A2A,Kuala Lumpur
TERMINAL SKYPARK,KS03,Keretapi Tanah Melayu,3.134420,101.55543,KS,Skypark Link,10,Brown,#A52A2A,Kuala Lumpur
KL SENTRAL,KT1,Express Rail Link,3.132675,101.687891,KT,KLIA Transit,7,Teal,#139593,Kuala Lumpur
BANDAR TASIK SELATAN,KT2,Express Rail Link,3.076067,101.711311,KT,KLIA Transit,7,Teal,#139593,Kuala Lumpur
PUTRAJAYA & CYBERJAYA,KT3,Express Rail Link,2.9314193,101.6708369,KT,KLIA Transit,7,Teal,#139593,Kuala Lumpur
SALAK TINGGI,KT4,Express Rail Link,2.8257973,101.7133911,KT,KLIA Transit,7,Teal,#139593,Kuala Lumpur
KUALA LUMPUR INTERNATIONAL AIRPORT,KT5,Express Rail Link,2.7549259,101.7048248,KT,KLIA Transit,7,Teal,#139593,Kuala Lumpur
KLIA2,KT6,Express Rail Link,2.7445694,101.685081,KT,KLIA Transit,7,Teal,#139593,Kuala Lumpur
KL SENTRAL,MR1,Rapid KL,3.132675,101.687891,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
CHOW KIT,MR10,Rapid KL,3.167394,101.698385,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
TITIWANGSA,MR11,Rapid KL,3.173204,101.695964,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
TUN SAMBANTHAN,MR2,Rapid KL,3.131452,101.690862,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
MAHARAJALELA,MR3,Rapid KL,3.138948,101.699203,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
HANG TUAH,MR4,Rapid KL,3.140681,101.706037,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
IMBI,MR5,Rapid KL,3.142812,101.709447,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
BUKIT BINTANG,MR6,Rapid KL,3.146077,101.711499,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
RAJA CHULAN,MR7,Rapid KL,3.150837,101.710442,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
BUKIT NANAS,MR8,Rapid KL,3.156244,101.704766,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
MEDAN TUANKU,MR9,Rapid KL,3.159271,101.698900,MR,KL Monorail Line,8,Light Green,#7dba00,Kuala Lumpur
SUNWAY-SETIA JAYA,SB1,Rapid Bus,3.082920,101.61228,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Kuala Lumpur
MENTARI,SB2,Rapid Bus,3.076130,101.61023,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Kuala Lumpur
